"","Image_ID","Order","Taxon","Band1","Red_Mean","Red_Mode","Red_Standard_Dev","Band_2","Green_Mean","Green_Mode","Green_Standard Dev","Band_3","Blue_Mean","Blue_Mode","Blue_Standard_Dev","Petal_Count","Infloresence_stature","species_numb","color","L","a","b"
"1","medium.jpeg?1464718285.jpg.jpg",1,"L. nevadensis","red",237.519,240,5.723,"green",249.182,255,5.031,"blue",247.403,247,6.009,7,"Decumbent",1,"honeydew",3140.63111890515,-95.0675899215039,-16.0744772592807
"2","medium.jpeg?1489190377.jpg",2,"L. nevadensis","red",226.868,227,6.102,"green",226.203,231,6.348,"blue",223.868,223,9.142,10,"Decumbent",1,"honeydew",2984.01937273562,-3.52492315428066,26.5547226444951
"3","medium.jpeg?1496630120.jpg",3,"L. nevadensis","red",246.133,251,5.083,"green",246.867,252,5.668,"blue",244.733,245,5.063,6,"Decumbent",1,"honeydew",3143.05939395076,-13.3433038856587,19.4543697485827
"4","medium.jpeg?1496781504.jpg",4,"L. nevadensis","red",206.508,209,8.793,"green",210.016,217,8.909,"blue",209.43,215,9.592,9,"Decumbent",1,"honeydew",2846.04656593754,-30.749209160188,-4.71279812001413
"5","medium.jpeg?1498403435.jpg",5,"L. nevadensis","red",220.043,210,14.338,"green",226.115,220,13.233,"blue",209.582,202,19.709,9,"Decumbent",1,"honeydew",2960.96248933654,-110.323187755805,156.807235890928
"6","medium.jpeg?1498535317.jpg",6,"L. nevadensis","red",178.268,197,20.118,"green",184.542,207,19.458,"blue",179.339,199,22.277,9,"Ascending",1,"honeydew",2622.31581048881,-75.2966021649843,38.711761452322
"7","medium.jpeg?1501559180.jpg",7,"L. nevadensis","red",199.415,217,18.522,"green",212.007,216,18.068,"blue",197.593,224,24.406,7,"Decumbent",1,"honeydew",2835.09120008579,-159.2732825511,117.644485873075
"8","medium.jpeg?1502666044.jpg",8,"L. nevadensis","red",254.719,255,1.076,"green",254.699,255,1.021,"blue",254.026,255,2.962,7,"Decumbent",1,"honeydew",3205.23399230137,-2.26649629952291,6.78809106540257
"9","medium.jpeg?1503283158.jpg",9,"L. nevadensis","red",235.458,239,4.34,"green",234.15,237,4.091,"blue",235.667,241,5.81,6,"Decumbent",1,"honeydew",3050.5816427239,15.7689899899633,-11.7025515408862
"10","medium.jpeg?1514242670.jpg",10,"L. nevadensis","red",201.381,197,12.942,"green",207.115,203,13.113,"blue",200.793,186,17.32,7,"Decumbent",1,"honeydew",2813.76230144658,-71.8041289518734,50.8682757238361
"11","medium.jpeg?1514242702.jpg",11,"L. nevadensis","red",207.036,205,6.767,"green",215.01,219,6.787,"blue",219.505,227,6.852,8,"Decumbent",1,"honeydew",2881.5102558149,-46.2157471402342,-72.6572218056063
"12","medium.jpeg?1530834329.jpg",12,"L. nevadensis","red",220.828,221,8.928,"green",222.832,226,8.852,"blue",200.702,227,22.896,8,"Decumbent",1,"honeydew",2939.15804970307,-98.2786278002941,230.835002231609
"13","medium.jpeg?1557612685.jpg",13,"L. nevadensis","red",177.664,191,11.51,"green",194.073,208,11.91,"blue",192.062,188,25.64,9,"Decumbent",1,"honeydew",2685.78019570877,-146.100274192021,-29.9595271885245
"14","medium.jpeg?1557623606.jpg",14,"L. nevadensis","red",207.558,204,13.351,"green",207.148,201,13.477,"blue",212.056,209,12.764,8,"Decumbent",1,"honeydew",2834.16464979337,22.5714677267366,-51.7810827466903
"15","medium.jpeg?1560923161.jpg",15,"L. nevadensis","red",202.791,198,6.777,"green",219.173,215,6.017,"blue",226.573,225,6.114,13,"Decumbent",1,"honeydew",2901.08837187792,-100.600397357246,-128.069431953102
"16","medium.jpeg?1561240298.jpg",16,"L. nevadensis","red",203.303,206,5.823,"green",211.756,215,6.605,"blue",223.188,224,8.533,8,"Decumbent",1,"honeydew",2858.86814671251,-22.1885964019837,-148.330314010688
"17","medium.jpeg?1561345725.jpg",17,"L. nevadensis","red",240.795,246,5.494,"green",241.068,249,6.888,"blue",250.75,254,3.919,9,"Decumbent",1,"honeydew",3106.83784921337,33.8283797381997,-99.1154498813898
"18","medium.jpeg?1561772427.jpg",18,"L. nevadensis","red",214.734,216,5.22,"green",220.243,222,5.335,"blue",216.97,224,8.643,8,"Decumbent",1,"honeydew",2923.49649274355,-56.5073210080591,17.7733243576014
"19","medium.jpeg?1562118275.jpg",19,"L. nevadensis","red",242.621,243,6.215,"green",246.54,248,6.104,"blue",233.808,236,12.45,9,"Decumbent",1,"honeydew",3127.86634303705,-76.1516738986376,118.408560819071
"20","medium.jpeg?1562445597.jpg",20,"L. nevadensis","red",234.427,231,5.817,"green",235.018,240,5.45,"blue",237.773,239,5.919,8,"Decumbent",1,"honeydew",3054.51855559651,5.69125913947488,-30.1688107225196
"21","medium.jpeg?1562638093.jpg",21,"L. nevadensis","red",220.082,224,7.669,"green",237.671,246,7.81,"blue",245.407,255,10.7,9,"Decumbent",1,"honeydew",3046.53681262121,-105.417383768462,-131.00792415441
